review,rating,date,bank,source,sentiment_label,sentiment_score,themes
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play Store,NEGATIVE,0.8396733403205872,other
it is not safety,1,2025-06-03,CBE,Google Play Store,NEGATIVE,0.9997867941856384,other
NICE bank,5,2025-06-03,CBE,Google Play Store,POSITIVE,0.9998055100440979,other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play Store,NEGATIVE,0.9997958540916443,other
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play Store,POSITIVE,0.9997678399085999,other
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play Store,POSITIVE,0.9491762518882751,other
best app,5,2025-06-01,CBE,Google Play Store,POSITIVE,0.999686598777771,other
Awesome bank,5,2025-06-01,CBE,Google Play Store,POSITIVE,0.9998461008071899,other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play Store,NEGATIVE,0.9983141422271729,"login_issues, transactions"
Masha alla,5,2025-05-31,CBE,Google Play Store,NEGATIVE,0.9514630436897278,other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play Store,NEGATIVE,0.9991102814674377,"login_issues, transactions"
better service,5,2025-05-31,CBE,Google Play Store,POSITIVE,0.9982219338417053,customer_support
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play Store,POSITIVE,0.9998370409011841,other
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play Store,NEGATIVE,0.9887813329696655,other
lower system everything,3,2025-05-30,CBE,Google Play Store,NEGATIVE,0.9993475079536438,other
Nice!,5,2025-05-30,CBE,Google Play Store,POSITIVE,0.999863862991333,other
Keep it up My CBE,5,2025-05-29,CBE,Google Play Store,POSITIVE,0.9996104836463928,other
yes good,5,2025-05-28,CBE,Google Play Store,POSITIVE,0.9998410940170288,other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play Store,NEGATIVE,0.9996353387832642,"login_issues, transactions, bugs"
i like everything of this app,5,2025-05-27,CBE,Google Play Store,POSITIVE,0.9996908903121948,other
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play Store,NEGATIVE,0.6856120228767395,other
Best,5,2025-05-26,CBE,Google Play Store,POSITIVE,0.9997941851615906,other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play Store,POSITIVE,0.9982792139053345,other
nice,5,2025-05-26,CBE,Google Play Store,POSITIVE,0.9998552799224854,other
good job,5,2025-05-26,CBE,Google Play Store,POSITIVE,0.999835729598999,other
it's awesome!!,5,2025-05-25,CBE,Google Play Store,POSITIVE,0.999871015548706,other
thankyou every one,5,2025-05-25,CBE,Google Play Store,POSITIVE,0.9998461008071899,other
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play Store,POSITIVE,0.9948287606239319,other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play Store,POSITIVE,0.9998852014541626,customer_support
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play Store,NEGATIVE,0.9997394680976868,"login_issues, customer_support"
mortuary app,5,2025-05-25,CBE,Google Play Store,NEGATIVE,0.7924906611442566,other
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play Store,NEGATIVE,0.9961044788360596,other
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play Store,POSITIVE,0.9991408586502075,other
👍,5,2025-05-24,CBE,Google Play Store,NEGATIVE,0.6970561742782593,other
good app,5,2025-05-24,CBE,Google Play Store,POSITIVE,0.9998493194580078,other
i love it 😍😘,5,2025-05-24,CBE,Google Play Store,POSITIVE,0.9998791217803955,other
It makes life easy!👌,5,2025-05-24,CBE,Google Play Store,POSITIVE,0.9993600249290466,other
its not fast,1,2025-05-24,CBE,Google Play Store,NEGATIVE,0.9949808716773987,performance
wow,4,2025-05-24,CBE,Google Play Store,POSITIVE,0.999592125415802,other
it is sooo good,5,2025-05-24,CBE,Google Play Store,POSITIVE,0.9998735189437866,other
excellent,5,2025-05-24,CBE,Google Play Store,POSITIVE,0.9998434782028198,other
ok,1,2025-05-24,CBE,Google Play Store,POSITIVE,0.9997851252555847,other
Fantastic,5,2025-05-23,CBE,Google Play Store,POSITIVE,0.9998743534088135,other
accessible to using,5,2025-05-23,CBE,Google Play Store,POSITIVE,0.999116837978363,login_issues
I like it,4,2025-05-23,CBE,Google Play Store,POSITIVE,0.9998593330383301,other
why you change default network?,5,2025-05-23,CBE,Google Play Store,NEGATIVE,0.9962357878684998,other
very nice 👍,5,2025-05-23,CBE,Google Play Store,POSITIVE,0.9998577833175659,other
nice fast app,5,2025-05-23,CBE,Google Play Store,POSITIVE,0.999833345413208,performance
how to I get my money,5,2025-05-23,CBE,Google Play Store,NEGATIVE,0.9934091567993164,other
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play Store,NEGATIVE,0.9998165965080261,customer_support
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play Store,POSITIVE,0.9649855494499207,bugs
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play Store,NEGATIVE,0.9991938471794128,other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play Store,NEGATIVE,0.9966771602630615,performance
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play Store,NEGATIVE,0.9986202716827393,other
hojii bonsaadha,5,2025-05-22,CBE,Google Play Store,POSITIVE,0.9568662047386169,other
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play Store,POSITIVE,0.955450713634491,ui_ux
Awosome!!!,5,2025-05-22,CBE,Google Play Store,POSITIVE,0.6944929361343384,other
"Very good app,",5,2025-05-22,CBE,Google Play Store,POSITIVE,0.9998691082000732,other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play Store,NEGATIVE,0.992516815662384,customer_support
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play Store,POSITIVE,0.9997020363807678,other
I hate this app 😒,1,2025-05-22,CBE,Google Play Store,NEGATIVE,0.9996378421783447,other
trustful,5,2025-05-22,CBE,Google Play Store,POSITIVE,0.9998213648796082,other
I like,5,2025-05-22,CBE,Google Play Store,POSITIVE,0.9998149275779724,other
update issue,4,2025-05-22,CBE,Google Play Store,POSITIVE,0.5473291873931885,other
its not working over safari network,1,2025-05-22,CBE,Google Play Store,NEGATIVE,0.9991377592086792,other
oldie,1,2025-05-22,CBE,Google Play Store,NEGATIVE,0.6663169860839844,other
it doesn't work,1,2025-05-21,CBE,Google Play Store,NEGATIVE,0.9997813105583191,other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play Store,POSITIVE,0.999855637550354,other
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play Store,POSITIVE,0.9994401335716248,other
Yes Yes,5,2025-05-21,CBE,Google Play Store,POSITIVE,0.9997482895851135,other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play Store,NEGATIVE,0.7850580215454102,other
easy to use helpful in my life,5,2025-05-21,CBE,Google Play Store,POSITIVE,0.9981144666671753,customer_support
good 👍,4,2025-05-21,CBE,Google Play Store,POSITIVE,0.9998576641082764,other
the best mobile banking app,5,2025-05-21,CBE,Google Play Store,POSITIVE,0.9998278617858887,other
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play Store,POSITIVE,0.9992597699165344,other
it's a good application 👍,5,2025-05-21,CBE,Google Play Store,POSITIVE,0.9998123049736023,other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play Store,NEGATIVE,0.9997513890266418,transactions
poor service,1,2025-05-21,CBE,Google Play Store,NEGATIVE,0.9996534585952759,customer_support
amazing,5,2025-05-20,CBE,Google Play Store,POSITIVE,0.999875545501709,other
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play Store,POSITIVE,0.9998389482498169,other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play Store,NEGATIVE,0.9994208812713623,other
Cbe mobile banking,5,2025-05-20,CBE,Google Play Store,POSITIVE,0.8304276466369629,other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play Store,NEGATIVE,0.9966920614242554,other
Best app I loved it,5,2025-05-19,CBE,Google Play Store,POSITIVE,0.999849796295166,other
nice app,5,2025-05-19,CBE,Google Play Store,POSITIVE,0.9998061060905457,other
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play Store,NEGATIVE,0.6448798179626465,bugs
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play Store,POSITIVE,0.9998588562011719,other
very good,4,2025-05-17,CBE,Google Play Store,POSITIVE,0.9998520612716675,other
best app.,5,2025-05-17,CBE,Google Play Store,POSITIVE,0.999774158000946,other
"not working,why???",5,2025-05-17,CBE,Google Play Store,NEGATIVE,0.9995881915092468,other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play Store,NEGATIVE,0.9841781258583069,other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play Store,NEGATIVE,0.9996201992034912,other
woxe harimo ribiso,5,2025-05-17,CBE,Google Play Store,NEGATIVE,0.9374372959136963,other
"Good ,easy to use",5,2025-05-16,CBE,Google Play Store,POSITIVE,0.9998592138290405,other
Good app,5,2025-05-15,CBE,Google Play Store,POSITIVE,0.9998493194580078,other
Good job👍,5,2025-05-14,CBE,Google Play Store,POSITIVE,0.9998576641082764,other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play Store,POSITIVE,0.9939067959785461,login_issues
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play Store,NEGATIVE,0.9474111795425415,login_issues
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play Store,NEGATIVE,0.9996613264083862,customer_support
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play Store,NEGATIVE,0.992915153503418,bugs
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play Store,POSITIVE,0.9984942674636841,performance
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play Store,POSITIVE,0.9844427704811096,"performance, transactions"
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play Store,NEGATIVE,0.9986681938171387,"login_issues, transactions"
it's easy and fast,5,2025-05-10,CBE,Google Play Store,POSITIVE,0.9995684027671814,performance
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play Store,NEGATIVE,0.9960438013076782,other
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play Store,POSITIVE,0.999572217464447,"login_issues, customer_support"
wow best application ever,5,2025-05-09,CBE,Google Play Store,POSITIVE,0.9997984766960144,other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play Store,NEGATIVE,0.9997019171714783,other
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play Store,POSITIVE,0.999118983745575,other
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play Store,NEGATIVE,0.9990994930267334,other
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play Store,POSITIVE,0.9976927042007446,transactions
amazing apps,5,2025-05-06,CBE,Google Play Store,POSITIVE,0.9998716115951538,other
All service of Mobile Banking,5,2025-05-06,CBE,Google Play Store,POSITIVE,0.8924257159233093,customer_support
needs improvement,1,2025-05-06,CBE,Google Play Store,NEGATIVE,0.9966731071472168,other
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play Store,NEGATIVE,0.995843231678009,other
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play Store,NEGATIVE,0.9984410405158997,transactions
good but these week not oky,4,2025-05-06,CBE,Google Play Store,NEGATIVE,0.9554157853126526,other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play Store,POSITIVE,0.9998049139976501,"ui_ux, bugs"
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play Store,NEGATIVE,0.9975224137306213,other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play Store,POSITIVE,0.8991121053695679,transactions
CBE mobilr bankg,5,2025-05-05,CBE,Google Play Store,POSITIVE,0.8703050017356873,other
verygood,3,2025-05-05,CBE,Google Play Store,POSITIVE,0.9988996982574463,other
ممتاز جدا,5,2025-05-04,CBE,Google Play Store,NEGATIVE,0.8031755685806274,other
it's very low quality application,1,2025-05-04,CBE,Google Play Store,NEGATIVE,0.9996594190597534,other
Very Amazing Apps,5,2025-05-04,CBE,Google Play Store,POSITIVE,0.9998774528503418,other
አዛ,1,2025-05-04,CBE,Google Play Store,NEGATIVE,0.6970561742782593,other
wow simple life,5,2025-05-04,CBE,Google Play Store,POSITIVE,0.9997076392173767,other
it's nice,5,2025-05-03,CBE,Google Play Store,POSITIVE,0.9998672008514404,other
Why stacked sometimes,5,2025-05-03,CBE,Google Play Store,NEGATIVE,0.9941051006317139,other
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play Store,NEGATIVE,0.8515545725822449,other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play Store,NEGATIVE,0.9997990727424622,other
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play Store,NEGATIVE,0.9981188178062439,other
Good and fast,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.9998561143875122,performance
Unreliable!,1,2025-05-02,CBE,Google Play Store,NEGATIVE,0.9997379183769226,other
Best the best fast,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.9998427629470825,performance
happy,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.9998753070831299,other
fast and reliable,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.9998595714569092,performance
network errorrrrrr,2,2025-05-02,CBE,Google Play Store,NEGATIVE,0.9978076815605164,bugs
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play Store,NEGATIVE,0.9982808828353882,transactions
its good and simple to use,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.9998610019683838,other
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play Store,NEGATIVE,0.9927296042442322,login_issues
it's the best app i,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.999834418296814,other
not bad not good,1,2025-05-02,CBE,Google Play Store,NEGATIVE,0.9715348482131958,other
its very nice,5,2025-05-02,CBE,Google Play Store,POSITIVE,0.9998526573181152,other
do not work this week,3,2025-04-30,CBE,Google Play Store,NEGATIVE,0.9977602958679199,other
It crashes frequently,4,2025-04-30,CBE,Google Play Store,NEGATIVE,0.9993256330490112,bugs
the best,5,2025-04-28,CBE,Google Play Store,POSITIVE,0.9998332262039185,other
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play Store,POSITIVE,0.8382573127746582,other
goid,5,2025-04-28,CBE,Google Play Store,NEGATIVE,0.7087003588676453,other
best appearance,5,2025-04-27,CBE,Google Play Store,POSITIVE,0.9996986389160156,other
it's very good 👍 app,5,2025-04-27,CBE,Google Play Store,POSITIVE,0.999859094619751,other
I need support you,5,2025-04-27,CBE,Google Play Store,NEGATIVE,0.9881442785263062,customer_support
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play Store,NEGATIVE,0.9997807145118713,other
super,5,2025-04-26,CBE,Google Play Store,POSITIVE,0.998783528804779,other
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play Store,NEGATIVE,0.8337246179580688,other
i like the app,5,2025-04-26,CBE,Google Play Store,POSITIVE,0.9994398951530457,other
the Best,1,2025-04-26,CBE,Google Play Store,POSITIVE,0.9998332262039185,other
to other bank is bad,1,2025-04-25,CBE,Google Play Store,NEGATIVE,0.9997149109840393,other
tank's,5,2025-04-25,CBE,Google Play Store,NEGATIVE,0.9855976700782776,other
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play Store,POSITIVE,0.9881664514541626,other
it is so nice,5,2025-04-24,CBE,Google Play Store,POSITIVE,0.9998714923858643,other
Very Good👍,5,2025-04-21,CBE,Google Play Store,POSITIVE,0.8243645429611206,other
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play Store,NEGATIVE,0.9995972514152527,"login_issues, transactions, bugs"
"wow, amazing app",5,2025-04-21,CBE,Google Play Store,POSITIVE,0.9998503923416138,other
use ful,5,2025-04-21,CBE,Google Play Store,NEGATIVE,0.9949980974197388,other
Great app,5,2025-04-21,CBE,Google Play Store,POSITIVE,0.999821126461029,other
well app,5,2025-04-20,CBE,Google Play Store,POSITIVE,0.9993765950202942,other
Actually it is inactive,4,2025-04-19,CBE,Google Play Store,NEGATIVE,0.9996483325958252,other
"slow, only one account is used",2,2025-04-19,CBE,Google Play Store,NEGATIVE,0.9997527003288269,"login_issues, performance"
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play Store,POSITIVE,0.9975135326385498,other
i like it,5,2025-04-18,CBE,Google Play Store,POSITIVE,0.9998593330383301,other
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play Store,NEGATIVE,0.9981147050857544,other
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play Store,POSITIVE,0.9994925260543823,other
Thank you!!!,5,2025-04-18,CBE,Google Play Store,POSITIVE,0.9998666048049927,other
i can't take screenshot,1,2025-04-18,CBE,Google Play Store,NEGATIVE,0.9897894263267517,other
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play Store,NEGATIVE,0.9861213564872742,other
perfectly special,5,2025-04-18,CBE,Google Play Store,POSITIVE,0.999879002571106,other
Fast and Reliable,5,2025-04-18,CBE,Google Play Store,POSITIVE,0.9998595714569092,performance
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play Store,POSITIVE,0.9997448325157166,other
great app!!!,5,2025-04-17,CBE,Google Play Store,POSITIVE,0.9998501539230347,other
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play Store,NEGATIVE,0.9911931157112122,other
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play Store,POSITIVE,0.9998784065246582,other
very nice app ever!!!,5,2025-04-16,CBE,Google Play Store,POSITIVE,0.999826967716217,other
the best app,5,2025-04-16,CBE,Google Play Store,POSITIVE,0.9998469352722168,other
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play Store,NEGATIVE,0.9996340274810791,other
great,5,2025-04-15,CBE,Google Play Store,POSITIVE,0.9998630285263062,other
Nice service,5,2025-04-15,CBE,Google Play Store,POSITIVE,0.9998397827148438,customer_support
great app,5,2025-04-15,CBE,Google Play Store,POSITIVE,0.999821126461029,other
it's special apps,5,2025-04-15,CBE,Google Play Store,POSITIVE,0.9995416402816772,other
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play Store,NEGATIVE,0.9985652565956116,other
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play Store,NEGATIVE,0.9647620320320129,other
Good 🔥,5,2025-04-14,CBE,Google Play Store,POSITIVE,0.9998576641082764,other
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play Store,POSITIVE,0.9998443126678467,other
lebaa bank,5,2025-04-14,CBE,Google Play Store,NEGATIVE,0.9437295198440552,other
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play Store,NEGATIVE,0.9983273148536682,other
OK,5,2025-04-13,CBE,Google Play Store,POSITIVE,0.9997851252555847,other
grateful app,5,2025-04-13,CBE,Google Play Store,POSITIVE,0.9998038411140442,other
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play Store,POSITIVE,0.9974650144577026,other
everthing wellbeok,3,2025-04-13,CBE,Google Play Store,NEGATIVE,0.7055739760398865,other
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play Store,NEGATIVE,0.9963226318359375,"login_issues, performance, ui_ux"
nice app 👌,5,2025-04-12,CBE,Google Play Store,POSITIVE,0.9996724128723145,other
why did this app is not screenshot,5,2025-04-12,CBE,Google Play Store,NEGATIVE,0.9989493489265442,other
it so good app,5,2025-04-12,CBE,Google Play Store,POSITIVE,0.999868631362915,other
جميل,5,2025-04-11,CBE,Google Play Store,POSITIVE,0.9271727204322815,other
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play Store,NEGATIVE,0.994688868522644,other
simply for used,4,2025-04-11,CBE,Google Play Store,NEGATIVE,0.9918003678321838,other
wow keep up,5,2025-04-10,CBE,Google Play Store,POSITIVE,0.9998539686203003,other
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play Store,NEGATIVE,0.9934490323066711,other
good one,5,2025-04-10,CBE,Google Play Store,POSITIVE,0.9998288154602051,other
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play Store,POSITIVE,0.9998396635055542,other
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play Store,NEGATIVE,0.7850580215454102,other
ጎበዝ,5,2025-04-09,CBE,Google Play Store,NEGATIVE,0.6970561742782593,other
but this app says can't sync,5,2025-04-09,CBE,Google Play Store,NEGATIVE,0.9988365769386292,other
waw,5,2025-04-09,CBE,Google Play Store,NEGATIVE,0.7346190214157104,other
to slow,3,2025-04-09,CBE,Google Play Store,NEGATIVE,0.9994872808456421,performance
work on screen shot system,4,2025-04-08,CBE,Google Play Store,NEGATIVE,0.5902628898620605,other
very very nice aplication,1,2025-04-08,CBE,Google Play Store,POSITIVE,0.9998292922973633,other
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play Store,POSITIVE,0.9996142387390137,other
easy and reliable,2,2025-04-08,CBE,Google Play Store,POSITIVE,0.9998584985733032,other
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play Store,POSITIVE,0.994536280632019,other
perfect app,5,2025-04-07,CBE,Google Play Store,POSITIVE,0.9998340606689453,other
I like it.,5,2025-04-07,CBE,Google Play Store,POSITIVE,0.9998694658279419,other
bugs,3,2025-04-07,CBE,Google Play Store,NEGATIVE,0.9988303780555725,bugs
commerial Bank,5,2025-04-06,CBE,Google Play Store,NEGATIVE,0.6810252666473389,other
Genat biru,2,2025-04-06,CBE,Google Play Store,NEGATIVE,0.966159999370575,other
🙏,5,2025-04-06,CBE,Google Play Store,NEGATIVE,0.6970561742782593,other
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play Store,POSITIVE,0.6723121404647827,other
the best one,5,2025-04-06,CBE,Google Play Store,POSITIVE,0.9998371601104736,other
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play Store,NEGATIVE,0.9967620372772217,other
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play Store,POSITIVE,0.9942916631698608,other
Good!👍,3,2025-04-05,CBE,Google Play Store,POSITIVE,0.9998579025268555,other
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play Store,POSITIVE,0.9985142350196838,transactions
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play Store,NEGATIVE,0.9551447033882141,other
easy to use,5,2025-04-05,CBE,Google Play Store,POSITIVE,0.9988542795181274,other
